date,open,high,low,close,volume,average,barCount
2025-11-03,270.48,270.85,266.25,269.05,228136.0,267.858,121417
2025-11-04,268.32,271.49,267.61,270.04,245366.0,269.797,125544
2025-11-05,268.61,271.7,266.93,270.14,183531.0,269.612,97149
2025-11-06,267.89,273.4,267.89,269.77,254403.0,271.129,132515
2025-11-07,269.8,272.29,266.77,268.47,261765.0,269.126,152184
2025-11-10,269.11,273.73,267.45,269.43,215190.0,270.307,113142
2025-11-11,269.85,275.91,269.8,275.25,281032.0,273.854,145611
2025-11-12,275.13,275.73,271.7,273.47,221921.0,273.809,109353
2025-11-13,274.27,276.7,272.09,272.95,218730.0,273.601,123551
2025-11-14,271.02,275.96,269.6,272.41,232799.0,273.274,128504
2025-11-17,268.83,270.49,265.73,267.46,213147.0,267.958,119357
2025-11-18,269.99,270.71,265.32,267.44,216566.0,267.826,123349
2025-11-19,265.54,272.21,265.5,268.56,203060.0,269.637,107132
2025-11-20,270.92,275.43,265.92,266.25,247206.0,270.404,139801
2025-11-21,265.94,273.33,265.67,271.49,304982.0,270.188,158671
2025-11-24,271.15,277.0,270.9,275.92,277177.0,275.067,145496
2025-11-25,275.27,280.38,275.25,276.97,222382.0,278.44,114415
2025-11-26,276.96,279.53,276.63,277.55,165953.0,278.245,91263
2025-11-28,277.37,279.0,275.98,278.85,94987.0,277.123,50506
2025-12-01,278.1,283.42,276.14,283.1,236323.0,280.273,114490
2025-12-02,282.99,287.4,282.63,286.19,260667.0,285.464,127538
2025-12-03,286.2,288.62,283.3,284.15,225868.0,286.015,115480
2025-12-04,284.1,284.73,278.59,280.7,224323.0,280.746,122593
2025-12-05,280.54,281.14,278.05,278.78,172906.0,279.381,93254
2025-12-08,278.11,279.67,276.15,277.89,187906.0,277.38,106053
2025-12-09,278.16,280.03,276.92,277.18,168793.0,278.051,84251
2025-12-10,277.84,279.75,276.44,278.78,153355.0,278.328,81159
2025-12-11,279.1,279.59,273.81,278.03,174620.0,276.848,92719
2025-12-12,277.91,279.22,276.82,278.28,188608.0,278.226,107133
2025-12-15,280.17,280.17,272.84,274.11,248010.0,274.68,140106
2025-12-16,272.7,275.5,271.79,274.61,171917.0,273.479,97695
2025-12-17,275.0,276.16,271.64,271.84,209700.0,273.695,124748
2025-12-18,273.61,273.63,266.95,272.19,257221.0,270.881,143770
2025-12-19,272.39,274.6,269.9,273.67,395657.0,271.831,158836
2025-12-22,272.88,273.88,270.5,270.97,203077.0,271.744,104858
2025-12-23,270.84,272.5,269.56,272.36,161225.0,271.596,78056
2025-12-24,272.34,275.43,272.19,273.81,103002.0,274.395,48577
2025-12-26,274.16,275.37,272.86,273.4,123474.0,274.32,60440
2025-12-29,272.7,274.36,272.35,273.76,100982.0,273.555,58005
2025-12-30,272.81,274.08,272.28,273.08,118423.0,273.029,65743
2025-12-31,273.06,273.68,271.75,271.86,115923.0,272.58,63817
2026-01-02,272.25,277.84,269.0,271.01,215450.0,272.21,117830
2026-01-05,270.72,271.51,266.14,267.26,233580.0,268.243,129628
2026-01-06,267.0,267.54,262.12,262.36,277788.0,263.402,149580
2026-01-07,263.2,263.68,259.81,260.33,258617.0,261.678,133881
2026-01-08,257.06,259.29,255.7,259.04,296637.0,257.113,155894
2026-01-09,259.07,260.21,256.22,259.37,225765.0,258.517,118906
2026-01-12,259.24,261.3,256.8,260.25,232474.0,259.921,122925
2026-01-13,258.72,261.81,258.39,261.05,201699.0,260.142,111827
2026-01-14,259.49,261.82,256.71,259.96,197178.0,258.928,113250
2026-01-15,260.72,261.04,257.05,258.21,201395.0,259.237,110338
2026-01-16,258.05,258.9,255.0,255.53,280137.0,256.664,131511
2026-01-20,252.73,254.79,243.42,246.7,374558.0,248.695,200708
2026-01-21,248.7,251.56,245.18,247.65,319687.0,247.77,173902
2026-01-22,249.2,251.0,248.15,248.35,223455.0,249.509,122708
2026-01-23,247.36,249.41,244.68,248.04,224454.0,247.388,121169
2026-01-26,251.5,256.56,249.8,255.41,289301.0,254.355,158290
2026-01-27,259.14,261.95,258.21,258.27,262512.0,260.221,143557
2026-01-28,257.53,258.86,254.51,256.44,192867.0,256.085,102984
2026-01-29,258.0,259.65,254.41,258.28,304448.0,257.229,173454
2026-01-30,255.17,261.9,252.18,259.48,471106.0,256.82,248489
2026-02-02,260.02,270.49,259.2,270.01,396640.0,265.625,194037
2026-02-03,269.2,271.88,267.61,269.48,334725.0,269.726,167586
2026-02-04,272.29,278.95,272.28,276.49,488958.0,276.019,264640
2026-02-05,278.13,279.5,273.23,275.91,283242.0,275.588,153373
2026-02-06,277.18,280.91,276.92,278.12,287929.0,278.735,161279
2026-02-09,277.87,278.2,271.7,274.62,226527.0,273.643,117593
2026-02-10,274.88,275.37,272.94,273.68,145590.0,274.031,80975
2026-02-11,274.68,280.18,274.45,275.5,270575.0,277.426,143618
2026-02-12,275.59,275.72,260.18,261.73,406691.0,265.186,237772
2026-02-13,261.95,262.23,255.45,255.78,281832.0,258.427,142590
2026-02-17,257.9,266.29,255.54,263.88,288868.0,261.903,142088
2026-02-18,263.53,266.82,262.45,264.35,171669.0,264.711,96518
2026-02-19,262.51,264.48,260.05,260.58,147662.0,262.206,80510
2026-02-20,258.97,264.75,258.16,264.58,207048.0,262.258,104221
